age,gender,profiles,cases,score
39,Female,5,4,4
40,Male,4,7,3
42,Female,5,1,
36,Male,2,1,
43,Male,3,8,5
46,Male,2,0,
35,Male,3,2,
34,Male,3,3,
36,Male,1,0,
49,Male,1,0,
38,Female,1,0,
33,Female,1,0,
36,Male,4,0,
24,Male,1,0,
29,Female,1,1,
27,Male,1,1,
28,Male,4,0,
44,Male,2,0,
35,Male,1,0,
24,Male,2,0,
39,Male,2,2,5
40,Male,4,1,
37,Male,3,0,
28,Male,3,0,
24,Male,1,0,
37,Male,1,0,
31,Female,1,0,
26,Male,1,1,5
35,Male,2,0,
33,Male,4,1,
33,Female,3,2,
38,Male,6,4,5
34,Male,6,0,
30,Male,2,0,
32,Male,2,0,
29,Male,2,3,
23,Male,1,0,
31,Male,1,0,
26,Male,1,0,
30,Female,1,0,
25,Female,1,0,
34,Male,1,0,
36,Male,2,0,
22,Male,1,0,
24,Male,1,0,
18,Male,1,0,
48,Male,1,0,
28,Female,1,0,
24,Male,1,0,
37,Male,3,0,
31,Male,1,2,
50,Male,3,0,
,Female,2,0,
24,Male,2,0,
22,Male,1,1,
46,Female,6,5,
26,Female,2,2,
,Male,2,0,
21,Male,3,3,
35,Male,2,0,
28,Female,3,1,
33,Female,1,1,
,Female,6,0,
,Male,2,1,5
24,Male,1,0,
24,Male,2,0,
22,Female,2,0,
,Male,5,0,
37,Male,5,21,
33,Female,2,0,
24,Male,1,2,
36,Male,2,0,
26,Female,5,4,
33,Female,1,0,
24,Male,1,1,
30,Female,1,0,
35,Female,2,0,
,Male,5,0,
,Male,2,0,
24,Male,1,0,
24,Male,1,0,
26,Male,1,2,
38,Male,1,0,
24,Female,2,0,
18,Male,2,0,
,Female,2,0,
,Male,2,0,
25,Male,1,0,
24,Male,1,2,2
28,Male,1,0,
26,Male,1,0,
24,Male,3,3,
27,Male,1,5,
33,Male,1,1,
25,Male,2,1,
35,Male,1,0,
23,Male,1,2,5
36,Male,1,0,
24,Female,2,0,
25,Male,1,2,
20,Male,5,1,
28,Male,2,0,
29,Male,1,0,
42,Male,3,2,
22,Male,2,1,
24,Male,1,6,
32,Male,1,0,
,Female,2,0,
36,Male,2,0,
23,Female,2,0,
23,Male,2,1,
28,Female,1,2,1
,Male,2,0,
21,Female,2,5,
28,Others,3,0,
35,Male,1,4,
34,Male,1,0,
28,Female,1,0,
26,Female,5,9,5
28,Male,1,0,
28,Male,3,0,
25,Male,1,2,5
,Male,2,0,
18,Male,1,0,
26,Female,1,0,
23,Female,1,0,
26,Female,1,2,
21,Male,1,0,
21,Male,2,0,
32,Male,4,7,
,Female,1,0,
29,Male,1,0,
21,Male,6,15,
25,Male,1,1,
20,Male,1,2,
,Male,1,0,
20,Female,1,0,
21,Male,1,0,
27,Male,1,1,
33,Male,4,2,
37,Male,2,0,
36,Male,1,1,
28,Female,2,2,
30,Male,1,1,1
38,Male,3,0,
29,Female,1,0,
,Male,3,1,5
22,Male,1,1,
30,Female,1,2,4
31,Male,1,0,
20,Male,4,1,
45,Female,1,1,
32,Male,1,0,
26,Male,1,0,
26,Female,1,0,
28,Male,4,1,
22,Male,1,0,
23,Male,1,1,5
20,Male,1,0,
21,Female,1,0,
40,Male,1,0,
25,Male,1,0,
35,Male,1,1,5
45,Male,1,0,
30,Male,2,0,
28,Male,1,4,
35,Male,2,1,5
72,Male,2,0,
33,Female,3,0,
21,Male,1,0,
25,Female,1,0,
27,Female,1,0,
25,Male,1,0,
28,Male,2,2,
25,Male,1,3,
32,Male,1,0,
30,Male,1,1,5
25,Male,1,0,
28,Male,1,0,
22,Female,1,0,
39,Male,2,2,
22,Female,1,1,5
24,Male,1,1,
30,Male,1,0,
25,Female,1,0,
17,Female,1,0,
38,Male,2,3,
21,Male,1,0,
26,Female,1,0,
26,Female,3,5,
20,Female,1,0,
31,Male,1,0,
28,Male,1,0,
26,Male,2,0,
22,Female,1,0,
20,Female,1,0,
,Female,1,0,
27,Female,1,0,
22,Male,1,0,
28,Female,3,0,
24,Female,1,0,
