age,gender,profiles,cases,score,Output
33,Female,9,0,4.1,6
65,Male,9,0,4.1,6
59,Female,9,0,4.1,6
33,Female,10,6,4.1,6
65,Male,10,6,4.1,6
59,Female,10,6,4.1,6
33,Female,11,17,4.1,6
33,Female,11,14,4.1,3
65,Male,11,17,4.1,6
65,Male,11,14,4.1,3
59,Female,11,17,4.1,6
59,Female,11,14,4.1,3
,Female,1,0,4,6
28,Female,1,0,4,6
50,Female,1,0,4,6
30,Female,1,0,4,6
31,Male,1,0,4,6
55,Female,1,0,4,6
,Female,2,1,4,3
28,Female,2,1,4,3
50,Female,2,1,4,3
30,Female,2,1,4,3
31,Male,2,1,4,3
55,Female,2,1,4,3
45,Male,7,0,5,6
50,Male,7,0,5,6
43,Female,7,0,5,6
,Female,7,0,5,6
16,Male,7,0,5,6
45,Male,8,6,5,6
45,Male,8,3,5,3
50,Male,8,6,5,6
50,Male,8,3,5,3
43,Female,8,6,5,6
43,Female,8,3,5,3
,Female,8,6,5,6
,Female,8,3,5,3
16,Male,8,6,5,6
16,Male,8,3,5,3
69,Female,8,12,5,3
12,Female,8,12,5,3
43,Female,8,12,5,3
,Female,8,12,5,3
27,Male,3,0,,6
27,Female,3,0,,6
19,Female,1,0,,6
13,Male,5,0,5,6
,Male,5,0,5,6
43,Male,5,0,5,6
,Female,5,0,5,6
35,Female,5,0,5,6
,,2,0,,6
65,Female,6,0,4.2,6
70,Male,6,0,4.2,6
12,Male,6,0,4.2,6
40,Female,6,0,4.2,6
,Female,6,0,4.2,6
42,Male,6,0,4.2,6
38,Male,4,0,,6
,Female,4,0,,6
26,Male,7,15,4.4,3
26,Male,7,4,4.4,6
26,Male,7,0,4.4,6
55,Male,7,15,4.4,3
55,Male,7,4,4.4,6
55,Male,7,0,4.4,6
26,Female,7,15,4.4,3
26,Female,7,4,4.4,6
26,Female,7,0,4.4,6
21,Female,7,15,4.4,3
21,Female,7,4,4.4,6
21,Female,7,0,4.4,6
52,Female,7,15,4.4,3
52,Female,7,4,4.4,6
52,Female,7,0,4.4,6
52,,7,15,4.4,3
52,,7,4,4.4,6
52,,7,0,4.4,6
20,Female,2,0,5,3
25,Male,2,0,5,3
33,Male,2,0,5,3
26,,2,0,5,3
20,Female,3,13,5,1
25,Male,3,13,5,1
33,Male,3,13,5,1
26,,3,13,5,1
40,Male,1,0,,1
40,Male,1,0,,6
34,Male,7,0,5,6
28,Female,7,0,5,6
34,Male,4,0,,6
34,Male,5,1,,3
,Female,4,1,5,6
33,Female,4,1,5,6
33,Male,4,1,5,6
37,Male,3,0,5,6
,Male,3,0,5,6
66,Female,3,0,5,6
74,Female,3,0,5,6
38,Male,3,0,5,6
37,Male,13,5,5,1
,Male,13,5,5,1
66,Female,13,5,5,1
74,Female,13,5,5,1
38,Male,13,5,5,1
,Male,4,5,,3
33,Female,4,5,,3
15,Male,3,1,,1
11,Female,3,1,,1
39,Female,3,0,5,6
40,Male,3,0,5,6
,Female,3,0,5,6
39,Female,5,3,5,1
